utterance,intent
I don't understand you and I want to talk to a human,0
"you aren't helping, what do I have to do to contact a person?",0
"I can't understand you, how can I talk to a human agent?",0
"i cant understand you, what should i do to contact a person?",0
"I can't understand you, can you speak with a human?",0
"I can't understand you, how can I contact a human?",0
acn I talk to a person ?,0
you aren't helping and I want to talk to someone,0
i dont understand you and i want to talk to a person,0
you aren't helping and I want to contact a human,0
"i dont understand you, how can i talk to a human ?",0
"u are not helping, what do i have to do to talk to a human?",0
could you tell me if there is any person available?,0
"you aren't helping, I need help speaking with a person",0
"you aren't helping, I need help speaking with a human agent",0
I want to know if there is any person available,0
"i dont understand you and i wanna speak with a fucking human, please",0
"i dont understand you, what do i have to do to speak withsomeone?",0
contact a human agent,0
"i cant understand you, can i speak with a human?",0
"you aren't helping, help me talk to someone",0
"I don't undertand you, I need help speaking with a human",0
"you arent helping, how can i contact a person?",0
"you're not helping, can you contact a human agent?",0
"I don't understand you, how can I speak with a person?",0
"I don't understand you, how do I talk to a human?",0
"I cannot understand you, can you contact a fucking human agent, please?",0
how can I talk to a human agent?,0
"you're not helping, how do I speak with someone?",0
"you're not helping, how do I speak with a person?",0
"I can't understand you, talk to someone",0
you're not helping and I want to talk to a human,0
"you're not helping, how do I talk to a person?",0
i want to contact a human agent,0
"I don't understand you, what do I have to do to contact a human?",0
"I can't understand you , help me contact a human",0
"you're not helping, help me speak with a human agent",0
"I can't understand you, contact a human",0
"I can't understand you, speak with a human agent",0
tell me if there is any huma available,0
"I can't understand you, can I contact a human agnet?",0
"you're not helping, can you talk to a human?",0
"you aren't helping, speak with a person",0
I can't understand you and I want to contact a person,0
"you're not helping, what do I have to do to contact someone?",0
"you aren't helping, what should I do to talk to a person?",0
i wanna talk to a human,0
"you aren't helping, help me talk to a human",0
I can't understand you and I want to contact fucking someone,0
how to contact a human,0
"you aren't helping, can you contact someone?",0
"you arent helping, can u speak with someone, please?",0
"you ar not helping , could you contact a fucking human agent?",0
can i contact a human?,0
"you're not helping, can you talk to a human agent?",0
"you arent helping, can u contact a human agent?",0
u are not helping and i want to speak with a person,0
"you're not helpig, what should I do to talk to someone?",0
"you aren't helping, what do I have to do to contact a human?",0
how do I contact someone?,0
"i cant understand you, what should i do to contact a fucking human agent?",0
can i speak with a human?,0
"I don't understand you, can you contact a person?",0
I want to contact a human gaent,0
u are not helping and i want to contact a person,0
"you arent helping, what can i do to talk to a human agent?",0
"I can't understand you, howdo I contact a person?",0
"i cant understand you, speak with a human agent",0
I want to speak with a human,0
"you're not helping, help me talk to someone",0
"you arent helping , i need help contacting a human",0
"you're not helping, can you contact someone?",0
"please, can you contact a human agent?",0
i cant understand you and i wanna speak with a human agent,0
"I can't understand you, what do I have to do to talk to a human agent?",0
how to speak with a human agent,0
I want to speak with a person,0
I don't understand you and I want to talk to a human agent,0
"i cant understand you, can i talk to a human?",0
how do I contact a human agent?,0
I don't understand you and I would like to talk to someone,0
is their any human available?,0
"I can't understand you, what can I do to contact a person?",0
"you arent helping , whta can i do to contact a human?",0
"you aren't helping, can you contact a human?",0
I need help speaking with someone,0
"I don't understand you, help me talk to a human",0
"you're not helping, what can I do to contact a fucking human agent?",0
u are not helping and i want to contact someone,0
"i dont understand you, can i speak with someone?",0
how do I contact a human?,0
"I don't understand you, what should I do to talk to someone?",0
can you contact someone?,0
"I can't undersatnd you, how do I talk to a human agent?",0
"i cant understand you, what should i do to contact a human agent?",0
"I can't understand you, contact a human, please",0
"youre not helping, help me speak with a human",0
"I can't understand you, help me contact an person",0
"u are not helping, what can i do to contact a human?",0
"i dont understand you, can i speak with a human agent?",0
"youre not helping, help me contact a human",0
"you aren't helping, can I contact a human?",0
"I can't understand you, what should I do to speak with someone?",0
help me contact someone,0
"you aren't helping, can I speak with a human?",0
"you're not helping, what do I have to do to contact a human?",0
"I don't understand you , I need help speaking with someone",0
"I don't understand you, how can I talk to a human?",0
"youre not helping, how could i contact a human agent?",0
"you're nit helping, can I speak with a human agent?",0
"you aren't helping, contact a human agent",0
"I can't understand you, what do I have to do to talk to someone?",0
"i dont understand you, can i talk to a human agent?",0
"you aren't helping, can you talk to a human?",0
"i cant understand you, what do i have to do to contact a person?",0
can you tell me if there is any human agent available?,0
"I can't understand you, how can I speak with a person?",0
"i dont understand you, what do i have to do to speak with a human agent?",0
"youre not helping, speak with a human",0
"you're not helping, can I talk to someone?",0
"you arent helping, how can i contact someone?",0
"i cant understand you, can u talk to a human?",0
"you arent helping, how do i speak with a human agent?",0
"i dont understand you, how do i speak with a person?",0
"you arent helping, what do i have to do to talk to someone?",0
"I don't understand you, can you talk to someone?",0
"you're not helping, what should I do to speak with someone?",0
"i cant understand you , help me talk to a human agent",0
help me speak with a human,0
"I can't understand you, help me talk to a person",0
"I don't understand you, I need help contacting a person",0
"you arent helping, what do i ave to do tro talk to a human?",0
i cant understand you and i wanna contact someone,0
"you aren't helping, help me speak with a human agent",0
"you aren't helping, speak with a human agent",0
"u are not helping , help me talk to ahuman",0
"you aren't helping, help me contact someone",0
"could u speak with a person, please?",0
"i cant understand you, could i speak with a person, please?",0
"I don't understand you, help me contact a human",0
"you aren't helping, can you contact a person?",0
"you aren't helping, what can I do to speak with a person?",0
I can't understand you and I would like to speak with someone,0
"you're not helping, I need help speaking with a person",0
"you're not helping, what can I do to talk to a person?",0
"I do not understand you and I would like to speak with a fucking human, please",0
"I can't understand you, can I talk to an human?",0
"I don't understand you, what can I do to talk to a human?",0
"i cant understand you, can i speak with someone, please?",0
"I don't understand you, spaek with someone",0
"you aren't helping, I need help contacting an human",0
"you're not helping, help me contact a human agent",0
you aren't helping and I want to talk to a human,0
"I cannot understand you, could you speak with a person?",0
I can't understand you and I want to speak with a person,0
"I can't understand you, help me speak with a human agent",0
i want to talk toan person,0
"I can't understand you, can I talk to a fucking human?",0
"you aren't helping, what can I do to contact someone?",0
"I can't understand you, could I talk to someone?",0
"you aren't helping, what should I do to talk to someone?",0
"you arent helping, i need help speaking with someone",0
"i cant understand you, what can i do to talk to a person ?",0
"I can't understand you, what do I have to do to contact someone?",0
I can't understand you and I want to talk to a human agent,0
I want to speak with a human agent,0
"you aren't helping, what should I do to speak with a human?",0
"I don't understand you, can I contact someone?",0
"you arent helping, what should i do to speak with a human?",0
"I don't understand you, what should I do to talk to a human?",0
I don't understand you and I want to contact a human agent,0
"I can't understand you, what can I do to speak with a human agent?",0
"I don't understand you, help me speak with a human agent",0
"you aren't helping, help me contact a human agent",0
"you're not helping, what do I have to do to speak with a human?",0
"u are not helping, how do i contact a human?",0
"i cant understand you , help me contact a person",0
"u are not helping, what do i have to do to talk to a fucking person?",0
"you aren't helping, I need help ocntacting a person",0
"you're not helping , can I contact a human agent?",0
"I don't understand you, can I talk to a human?",0
"i cant understand you, how do i talk to a human agent?",0
"I can't unedrstand you, what can I do to talk to someone?",0
"you arent helping, how can i talk to a human?",0
"I can't understand you, can I talk to a human agent?",0
I need help speaking with a person,0
"i dont understand you, contact someone",0
"i cant understand you, i need help contacting a human agent",0
"u are not helping, what should i do to contact fucking someone?",0
you're not helping and I want to talk to a human agent,0
"I can't understand you, what should I do to speak with a person?",0
help me contacy an human,0
"you aren't helping, can I talkto a human agent?",0
"I don't understand you, contact a human agent",0
I want to know if there is any human available,0
can I talk to a human agent?,0
"you aren't helping, how do I speak with a human ?",0
"you're not helping, what can I do to speak with someone?",0
I want to contact a human,0
"u are not helping, talk to someone",0
youre not helpnig and i wanna contact someone,0
"I do not understand you, I need help speaking with a person, please",0
"you're not helping, I need hrlp contacting a person",0
"please, can u contact someone?",0
I want to talk to a human,0
"I don't understand you, can you speak with a person?",0
I do not understand you and I would like to speak with a human agent,0
"I can't understand you, how could I talk to someone?",0
"you're not helping, what do I have to do to speak with a person?",0
you arent helping and i wanna speak with a human agent,0
"your not helping, I need help contacting a human agent",0
how can I contact a person?,0
"you're not helping, contact a human",0
is there any human agent available?,0
tell me if there is any person available,0
"I don't understand you , can I speak with a human?",0
"you're not helping, how do I speak with a human agent?",0
"I don't understand you, how do I contact someone?",0
"i cant understand you, how can i contact a human?",0
can I contact someone?,0
"you aren't helping, could I talk to a human, please?",0
"I don't understand you, speak with a human",0
"I can't understand you, what do I have to do to talk to a person?",0
o want to contact a human,0
"youre not helping, can u contact a human agent?",0
"you arent helping, i need help talking to a human, please",0
"you're not helping, what should I do to talk to a human agent?",0
"you're not helping, help me contact someone",0
"you're not helping, what do I have to do to talk to a person?",0
I don't understand you and I want to speak with someone,0
"you're not helping, how can I contact a person?",0
"I can't understand you, can you talk to a human agtent?",0
"I don't understand you, I need help talking to a human agent",0
"u are not helping, can u contact someone?",0
"you aren't helping, can you speak with someone?",0
"you arent helping, can i speak with a human agent?",0
"I can't understand you, could you contact fucking someone?",0
"I don't understand you, how can I contact a human?",0
can you talk to a person?,0
how to contact a person,0
"I don't understand you, I need help talking to a human",0
"you're not helping, what do I have to do to talk to a human?",0
"you're not helping, what should I do to talk to a human?",0
how doI speak with someone?,0
"you're not helping, how can I talk to someone?",0
"I can't understand you, I need help talking to a person",0
"you're not helping, how can I talk to a person?",0
"you aren't helping, can you contact a human agent?",0
"you aren't helping, can I contact a person?",0
"I can't understand you, can you speak with a person?",0
"i dont understand you , how do i contact a person?",0
I don't understand you and I'd like to talk to fucking someone,0
"i dont understand you, i need help talking to someone, please",0
"you're not helping, help me talk to a person",0
"I can't understand you, can I speak with a person?",0
"I can't understand you, what should I do to talk tl a person?",0
"you arent helping and i want to speak with a human agent, please",0
how to speak with a human,0
"you aren't helping, what should I do to contact a human agent?",0
i need help speaking with a human agent,0
"u are not helping, can u talk to a human?",0
"you aren't helping, what can I do to talk to a human agent?",0
"you aren't helping, how can I talk to a person?",0
"you aren't helping, what can I do to talk to a person?",0
i cant understand you and i want to contact a person,0
"you arent helping and i wanna talk to a human, please",0
"i dont understand you and id like to talk to a person, please",0
"you're not helping, I need help speaking with someone",0
"you arent helping, help me contact someone",0
"you aren't helping, what do I have to do to speak with a person?",0
I can't understand you and I want to speak with a human,0
help me speak with a person,0
"please, i want to know if there is any person available",0
Do you have anything for flu?,1
How do I take biogesic,2
Is Betadine still available,3
I have a persistent cough and runny nose. Can you recommend an OTC medicine for cold and flu symptoms?,1
My joints are sore. Is there an over-the-counter pain reliever you would recommend for arthritis pain?,1
I'm feeling really stressed lately. Do you have any OTC options for stress relief?,1
"I need something for allergies, specifically itchy eyes and sneezing. What OTC medicine do you suggest?",1
Can you recommend an over-the-counter sleep aid for occasional insomnia?,1
I have heartburn after meals. What OTC antacid would you recommend?,1
I want to boost my immune system. What OTC supplements do you have for that?,1
My stomach feels upset. Can you suggest an OTC medicine for indigestion?,1
I'm looking for something to relieve muscle pain after exercising. Any OTC recommendations?,1
Is there an OTC medication you recommend for motion sickness during travel?,1
Do you have vitamin D supplements available? What brands do you carry?,1
I have a minor cut that needs attention. Can you suggest an OTC ointment or solution for wound care?,1
I'm looking for an OTC option for allergy relief specifically during the pollen season. Any recommendations?,1
Can you suggest an over-the-counter medicine for common cold symptoms like a sore throat and congestion?,1
I need something for occasional headaches. What OTC pain reliever would you recommend?,1
I often feel fatigued. Is there an OTC supplement or vitamin you recommend for energy?,1
I have occasional nausea. Can you suggest an over-the-counter remedy for that?,1
I'm looking for OTC options to manage seasonal flu symptoms like fever and body aches. What do you recommend?,1
I need an OTC solution for occasional constipation. What would you suggest?,1
I'm going on a long flight and want something to prevent jet lag. Any OTC recommendations?,1
Can you recommend an OTC option for acne or skin blemishes?,1
My child has a cold. What OTC medicine is safe for children to relieve cold symptoms?,1
I have trouble focusing and staying alert. Are there any OTC options for improved concentration?,1
I'm going on a camping trip and want to be prepared for minor injuries. What OTC first aid supplies should I consider?,1
I have trouble falling asleep. Can you recommend an over-the-counter sleep aid that doesn't cause drowsiness the next day?,1
What OTC options do you have for weight management or appetite control?,1
I have a sunburn. Can you recommend an OTC product for soothing sunburned skin?,1
Are there OTC options for managing symptoms of acid reflux?,1
I'm looking for an OTC allergy medicine that won't make me drowsy. What do you recommend?,1
I have a headache and sensitivity to light. What OTC pain reliever would be effective for migraine relief?,1
I recently had surgery and need an OTC pain reliever that won't interact with my prescription medications. What do you recommend?,1
I have a cold sore. Is there an OTC cream or medication you suggest for treating it?,1
"My allergies are acting up, and I also have a headache. Can you recommend an OTC medicine that addresses both symptoms?",1
I'm experiencing bloating and gas. Are there any OTC options for digestive discomfort?,1
I have trouble staying asleep throughout the night. Can you recommend an OTC sleep aid that promotes deep sleep?,1
I'm traveling to a region with a risk of malaria. Can you recommend an OTC medication for malaria prevention?,1
I have a child with a persistent cough. What OTC cough syrup or medicine is safe for children?,1
"My joints are stiff, especially in the morning. Can you suggest an OTC supplement for joint health?",1
"I'm prone to motion sickness, especially during car rides. What OTC remedy do you recommend?",1
I have a bee sting. Can you recommend an OTC ointment or cream for insect bites?,1
I'm looking for an OTC option for hair loss prevention. Do you have any recommendations?,1
I have a urinary tract infection (UTI) and need relief until I can see a doctor. Can you recommend an OTC product?,1
I'm pregnant and looking for OTC options for common pregnancy symptoms like nausea. What do you suggest?,1
My child has a fever. Can you recommend an OTC fever reducer that is safe for children?,1
I need an OTC option for chronic sinus congestion. What would you recommend for long-term relief?,1
I've been feeling really anxious lately. Is there something I can take to help with anxiety?,1
My child has a persistent cough. What cough medicine is suitable for kids?,1
I've been having trouble sleeping. Can you recommend a sleep aid that doesn't require a prescription?,1
I recently had surgery and need a pain reliever that won't interfere with my other medications. What do you suggest?,1
I have a sunburn and need something to soothe the pain. Any recommendations?,1
"My allergies are acting up, and I need something for both congestion and sneezing. What should I take?",1
I'm traveling to a tropical area and want to be prepared for potential illnesses. What should I pack?,1
I have a headache that just won't go away. What can I take for migraine relief?,1
My child has a fever. What's a safe fever reducer for kids?,1
I'm experiencing digestive issues like bloating and discomfort. Any suggestions?,1
I have a sore throat and need something to ease the pain. What do you recommend?,1
I've been feeling low on energy lately. Is there a supplement I can take for a boost?,1
I'm prone to motion sickness. What can I take to prevent it during travels?,1
"I have joint pain, especially in the mornings. Is there something I can take for joint relief?",1
I have a cut that needs attention. What should I use for wound care?,1
I've been feeling really stressed at work. Is there anything I can take for stress relief that won't affect my focus?,1
"I'm planning a long flight, and I'm concerned about jet lag. Any recommendations to prevent it?",1
"I have a nagging cough, and it's keeping me up at night. What can I take for cough relief?",1
My child has seasonal allergies. What's a good option for allergy relief that won't make them drowsy?,1
I have trouble focusing during the day. Is there a supplement or medication for improved concentration?,1
I have occasional heartburn after meals. What over-the-counter antacid would you recommend?,1
I'm planning a trip and want to be prepared for motion sickness. What OTC remedy should I pack?,1
"I need something for allergy relief, specifically for itchy eyes and sneezing. What OTC medicine do you suggest?",1
I have a headache that won't go away. What over-the-counter pain reliever is effective for headaches?,1
I'm looking for an over-the-counter sleep aid that won't cause drowsiness the next day. Any recommendations?,1
My child has a fever. What over-the-counter medicine is safe for reducing fever in kids?,1
I have joint pain and stiffness. What over-the-counter supplement would you recommend for joint health?,1
I'm experiencing occasional indigestion. What OTC product can I take for relief?,1
I have a minor cut that needs attention. What over-the-counter ointment or solution should I use for wound care?,1
I'm going on a long flight and need an over-the-counter option for jet lag prevention. Any suggestions?,1
I have seasonal allergies. Can you recommend an over-the-counter allergy medicine that won't cause drowsiness?,1
I have trouble falling asleep. What over-the-counter sleep aid would you recommend?,1
I have a sunburn. What over-the-counter product can I use for soothing sunburned skin?,1
I've been feeling fatigued lately. Is there an OTC supplement or vitamin you recommend for an energy boost?,1
I have occasional stomach upset after meals. What OTC option would you suggest for indigestion?,1
"I need something for allergy relief, particularly for nasal congestion. Can you recommend an OTC medicine?",1
My child has a persistent runny nose. What OTC solution is safe for relieving cold symptoms in kids?,1
I have trouble staying asleep throughout the night. Can you suggest an OTC sleep aid for continuous sleep?,1
I'm prone to seasickness during boat trips. What OTC remedy should I take to prevent it?,1
I have a minor burn from cooking. Can you recommend an OTC ointment or cream for burn care?,1
I'm going on a tropical vacation and want to be prepared for potential illnesses. What OTC medications should I bring?,1
My child has occasional constipation. What OTC product would you recommend for relief?,1
I have a headache accompanied by sensitivity to light. What OTC pain reliever would you suggest for migraines?,1
I'm looking for an OTC solution for acne or skin blemishes. Any recommendations?,1
"I've been having trouble with my digestion, experiencing gas and bloating. What OTC remedy should I consider?",1
I have a urinary tract infection and need something for relief until I can see a doctor. What OTC product do you recommend?,1
I'm pregnant and looking for OTC options for common pregnancy symptoms like nausea. What do you suggest?,1
My child has occasional coughing fits. Can you recommend an OTC cough syrup that's suitable for children?,1
I have a sunburn and need something for relief. Can you recommend an OTC product for soothing sunburned skin?,1
I'm going on a hiking trip and want to be prepared for minor injuries. What OTC items should I include in my first aid kit?,1
I have occasional heartburn after meals. What OTC antacid would you recommend for relief?,1
My child has a fever. What over-the-counter medicine is safe for reducing fever in kids?,1
I have joint pain and stiffness. What OTC supplement would you recommend for joint health?,1
I'm looking for an OTC sleep aid that won't leave me groggy in the morning. Any suggestions?,1
I've been feeling stressed and have trouble relaxing. Is there an OTC option for stress relief you recommend?,1
What's the dosage instruction for Neurobion?,2
Give me instructions on how to take Ascorbic Acid,2
How to administer Biogesic?,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
,2
Is this biogesic available?,3
Do you have biogesic in stock?,3
Can I get biogesic here?,3
Is biogesic currently in stock?,3
Is biogesic in your inventory?,3
Do you have biogesic available?,3
May I know if biogesic is available?,3
Is biogesic available for purchase today?,3
Can I get my prescription of biogesic here?,3
I need to know if you have biogesic here.,3
Is biogesic on the list of medicines you sell?,3
I'm inquiring about the availability of this biogesic.,3
Is the biogesic currently in stock today?,3
"I'm looking to buy biogesic, do you have it?",3
"Aside from biogesic, is biogesic also available?",3
Do you stock regularly on biogesic?,3
Is the biogesic on sale today?,3
Do you have biogesic on this pharmacy?,3
When will the biogesic be available for purchase?,3
Do you currently have biogesic?,3
How much is biogesic and is it available?,3
Is biogesic available for purchase today or is it available in another time?,3
Do you have biogesic in your inventory today?,3
What medicines are available today?,3
Does biogesic need a prescription or is it available to purchase?,3
